"","doc_id","timestamp","favorite_count","retweet_count","text"
"89",89,2015-11-10 08:40:00,1240,524,"@piersmorgan Why @realdonaldtrump nailed SNL My new column "
"90",90,2015-11-10 08:40:00,1694,630,"@foxnation #DonaldTrump Gives SNL Its Biggest Ratings In Years "
"91",91,2015-11-10 11:51:00,1529,574,"I will be interviewed by @GStephanopoulos on @GMA at     AM There is much to talk about"
"92",92,2015-11-10 14:28:00,1667,684,"@JezzaK If the Trump Hotel Honolulu is any reflection how you would be as President then I think the US will be in good hands Thank you"
"93",93,2015-11-10 14:29:00,2136,880,"@curtismuddog @limbaugh @seanhannity @realDonaldTrump is Hillarys worst nightmare Just take a look at Illinois rally last night"
"94",94,2015-11-10 15:32:00,1887,705,"@jspence   @jspence   Like him or hate him @realDonaldTrump runs a brilliant campaign for #POTUS       Thank you"
"95",95,2015-11-10 15:37:00,1948,867,"@rayaub  Funny all the real polls have @realDonaldTrump way ahead"
"96",96,2015-11-10 16:54:00,2908,1159,"Go out and buy CRIPPLED AMERICA How to Make America Great Again Doing really well Great Thanksgiving or Christmas present"
"97",97,2015-11-10 17:42:00,2825,1419,"Thank you New Jersey #Trump     "
"98",98,2015-11-10 18:01:00,2656,1274,"Thank you South Carolina #Trump     "
"99",99,2015-11-10 18:32:00,2827,1254,"People Magazine Donald Trump Was Right He Gave SNL Its Best Ratings in Nearly   YearsPlus What You Didnt See "
"100",100,2015-11-11 06:57:00,1841,731,"I will be on @MorningJoe live from New Hampshire tomorrow at  am #Trump     #MakeAmericaGreatAgain"
"101",101,2015-11-11 10:37:00,1631,605,"@Rmac     Keep up the good work Donald Hello from Vancouver where the new  amazing Trump Tower and Hotel almost complete"
"102",102,2015-11-11 10:46:00,1787,560,"Will be on @MorningJoe live from New Hampshire      AM Talking about the debate and more"
"103",103,2015-11-11 10:50:00,3966,1509,"Loved doing the debatewon Drudge and all online polls Amazing evening moderators did an outstanding job"
"104",104,2015-11-11 15:48:00,2748,1135,"Thank you @MorningJoe  @morningmika  a great show #Trump     #MakeAmericaGreatAgain "
"105",105,2015-11-11 16:34:00,5534,2531,"Happy Veterans Day To those who have served thank you for your special work"
"106",106,2015-11-11 16:36:00,3368,1020,"Just returned home from the great state of New Hampshire Have made so many friends therespecial place"
"107",107,2015-11-11 22:59:00,2898,1346,"I never said that China was in the bad TPP trade deal but that China would come in the back door at a later date @CNN @FoxBusiness"
"108",108,2015-11-11 23:02:00,1877,646,"@gerardtbaker Gerardwonderful job last night as moderator of the debate I told many really smart and elegant"
"109",109,2015-11-11 23:03:00,1620,677,"I will be on @marklevinshow at  PM tonight Tune in"
"110",110,2015-11-11 23:12:00,1935,746,"Will be interviewed by @oreillyfactor tonight at   PM"
"111",111,2015-11-12 00:19:00,1789,1155,"@Christianlord    RUBIO sat back during debate on Immigration hoping no   would ask him about Gang of   "
"112",112,2015-11-12 02:07:00,2454,1096,"@frankieguy   This   YearOld Woman Registered to Vote Just to Cast a Ballot for Trump "
"113",113,2015-11-12 02:13:00,2308,927,"@BornToBeGOP @realDonaldTrump You will bring out more voters to vote for you than weve seen in any election Great"
"114",114,2015-11-12 02:18:00,3363,1365,"@ellenEspence Im not convinced that any candidate other than @realDonaldTrump is committed to securing our borders #VoteTrump    "
"115",115,2015-11-12 11:16:00,2168,830,"All seven online polls including Drudge and Time with thousands of respondents said I won the debate @krauthammer said I was so so"
"116",116,2015-11-12 11:24:00,1270,535,"I will be interviewed on @MariaBartiromo @FoxBusiness at    "
"117",117,2015-11-12 11:36:00,2067,1076,"Todays @WSJ Editorial is WRONG again I know that China is not in the new TPP trade deal but would come in latter through a back door"
"118",118,2015-11-12 11:41:00,2038,996,"@WSJ Editorial Board should review my debate statement re China and TPP and apologize China not part but will get their way in later"
"119",119,2015-11-12 11:45:00,1816,796,"The @WSJ Editorial Board is so wrong so often They got info from an incorrect story in another pub Why not watch and listen to debate"
"120",120,2015-11-12 11:51:00,2427,1037,"When and how are the dummies at the @WSJ going to apologize to me for their totally incorrect Editorial on me I want smart trade deals"
"121",121,2015-11-12 12:23:00,2259,957,"Why wouldnt the @WSJ call for comment or clarification before writing an editorial which is so totally wrong No wonder it is doing poorly"
"122",122,2015-11-12 12:50:00,10847,5576,"We as a country either have borders or we dont IF WE DONT HAVE BORDERS WE DONT HAVE A COUNTRY"
"123",123,2015-11-12 15:00:00,3840,1829,"@KarlRove is a biased dope who wrote falsely about me re China and TPP This moron wasted     million on political campaigns and lost    "
"124",124,2015-11-12 15:08:00,2293,1088,"Why does the failing @WSJ write a false editorial about me and let dummy @KarlRove make the same mistake in the same edition of the paper"
"125",125,2015-11-12 17:03:00,2403,1342,"@WSJ and dopey Karl Rove made a mistake and purposely mischaracterized my statement on the terrible TPP deal
"
"126",126,2015-11-12 19:10:00,2603,1343,"Total fool @KarlRove is part of the Republican Establishment problem An all talk no action dummy 
  "
"127",127,2015-11-12 19:21:00,3336,2104,"Wow pres candidate Ben Carson who is very weak on illegal Immigration just said  he likes amnesty and a pathway to citizenship"
"128",128,2015-11-12 20:38:00,4262,1555,"From   to    in Texas  quite a jump into first place"
"129",129,2015-11-12 20:43:00,2275,1244,"Thank you @Forbes for showing the @WSJ was wrong So dishonest "
"130",130,2015-11-12 21:05:00,6681,2968,"Macys was very disloyal to me bc of my strong stance on illegal immigration Their stock has crashed #BoycottMacys "
"131",131,2015-11-12 21:49:00,1664,648,"I will be on with @BretBaier tonight at  PM #Trump    "
"132",132,2015-11-12 21:49:00,1776,752,"I will be on @OutFrontCNN with @ErinBurnett at  PM Tune in
#Trump    "
"133",133,2015-11-12 23:35:00,4925,2041,"First candidate in Virginia with over       validated signatures for the ballot An honor  thank you #Trump     #MakeAmericaGreatAgain"
"134",134,2015-11-13 03:06:00,3603,1435,"Thank you Iowa I appreciate all of your support @IowaCentral  @ethanolbyPOET this evening #Trump     #IACaucus "
"135",135,2015-11-13 16:07:00,3084,1567,"Happy Friday the   th "
"136",136,2015-11-13 19:42:00,3034,1461,"@DRUDGEREPORT REUTERS  DAY ROLLING POLL TRUMP    CARSON     RUBIO    CRUZ    Thank you  a great honor"
"137",137,2015-11-13 20:16:00,2337,878,"@CarlyFiorina Carly not just you I also told Gov Kasich to let Jeb talk give him a chance because Kasich was constantly cutting in"
"138",138,2015-11-13 20:16:00,2654,1058,"@CarlyFiorina CarlyI did graduate from Wharton and did very well Who is your fact checker Will you apologize"
"139",139,2015-11-13 20:17:00,3013,1311,"@CarlyFiorina  Ben Carson said in his own book that he has a pathological temper  pathological disease I didnt say it he did Apology"
"140",140,2015-11-13 20:18:00,2179,769,"@CarlyFiorina I only said I was on @  Minutes four weeks ago with Putinnever said I was in Green Room Separate piecesgreat ratings"
"141",141,2015-11-13 20:55:00,2925,1121,"@CarlyFiorina had to inject herself into my factual statements concerning Ben Carson in order to breathe life into her failing campaign"
"142",142,2015-11-13 21:04:00,2756,1013,"@seanhannity  Carly whose campaign is dead is making false statements about me in order to salvage hope Sad"
"143",143,2015-11-13 21:11:00,3736,1348,"Great honor to be inducted into the NJ Boxing Hall of Fame last night Thank you Timing could not have been better "
"144",144,2015-11-13 21:35:00,4753,1947,"Thank you @JakeTapper for giving me credit for my vision on bombing the oil fields Should have been done long ago #Trump    "
"145",145,2015-11-13 21:36:00,24597,13757,"They laughed at me when I said to bomb the ISIS controlled oil fields Now they are not laughing and doing what I said #Trump    "
"146",146,2015-11-13 21:54:00,3862,1362,"Boy is this guy @ShepNewsTeam tough on me So totally biased As a reporter he should be ashamed of himself #Trump    "
"147",147,2015-11-13 23:52:00,27462,12252,"My prayers are with the victims and hostages in the horrible Paris attacks May God be with you all"
"148",148,2015-11-14 13:39:00,17976,8311,"President Obama said ISIL continues to shrink in an interview just hours before the horrible attack in Paris He is just so bad CHANGE"
"149",149,2015-11-14 13:42:00,12944,5790,"We need much tougher much smarter leadership  and we need it NOW"
"150",150,2015-11-14 18:07:00,3095,1136,"@MarioPosillico @realDonaldTrump you need to win for not just America but for humanity"
"151",151,2015-11-14 18:10:00,3294,1431,"@ABCinSC @realDonaldTrump  a tough man for a tough job in tough times Gloves off game on "
"152",152,2015-11-14 18:11:00,2884,924,"@dlt    @realDonaldTrump you definitely have my vote"
"153",153,2015-11-14 18:15:00,3703,1500,"@jrpantiques @realDonaldTrump @ABCinSC @KatrinaPierson THE WORLD IS PLAYING EVERYTHING RIGHT FOR TRUMP EVERY DAY HIS POINTS ARE PROVEN"
"154",154,2015-11-14 23:27:00,2408,1147,"@HaloOneForTrump @realDonaldTrump has what MONEY CANT BUY VISION  LOYAL  MOTIVATED SUPPORT #veterans #military  @foxnews @cnn @GOP"
"155",155,2015-11-14 23:30:00,5091,2331,"@shawnlivinlife I still havent heard the WH say the words islamic terrorist Call it what it is #Trump     cant happen fast enough"
